ph,ec,orp,turbidite,debi,delta_basinc,sinif
8.96,4.11,376.0,0.0,2.33,0.562,kimyasal
7.14,1.69,450.0,60.0,2.78,0.938,fiziksel
5.95,1.74,200.0,16.7,3.45,0.19,biyolojik
8.23,2.44,205.0,8.3,2.0,0.5,kimyasal
7.24,1.61,286.0,40.7,1.83,0.536,fiziksel
6.95,1.36,245.0,2.9,3.55,0.02,normal
6.33,1.24,132.0,4.7,3.52,0.23,biyolojik
7.24,1.44,475.0,39.5,2.13,0.755,fiziksel
7.26,1.27,391.0,21.2,2.42,0.234,fiziksel
6.4,0.98,422.0,55.1,2.1,0.557,fiziksel
7.01,1.04,427.0,5.3,2.53,0.369,fiziksel
6.8,1.57,440.0,18.4,2.09,0.078,fiziksel
9.76,4.0,350.0,7.7,2.86,0.105,kimyasal
7.95,2.22,329.0,13.6,4.66,0.421,kimyasal
7.57,0.37,257.0,12.3,1.16,0.454,fiziksel
7.08,1.06,414.0,19.9,1.32,0.583,fiziksel
7.38,0.76,399.0,41.7,2.14,0.604,fiziksel
8.73,3.42,275.0,9.2,3.33,0.275,kimyasal
9.51,3.43,267.0,11.6,2.29,0.702,kimyasal
7.15,0.8,254.0,22.4,2.09,0.669,fiziksel
6.62,1.05,411.0,51.2,3.61,1.0,fiziksel
5.4,1.67,228.0,15.3,3.84,0.412,biyolojik
6.72,1.82,219.0,29.7,2.72,0.352,biyolojik
6.2,1.23,412.0,46.5,1.61,0.678,fiziksel
6.92,1.58,421.0,29.6,1.9,0.572,fiziksel
7.06,1.66,318.0,7.1,3.65,0.162,biyolojik
5.53,1.37,101.0,13.5,3.37,0.521,biyolojik
7.41,1.92,194.0,15.3,2.91,0.407,kimyasal
5.97,0.3,132.0,15.9,3.93,0.447,biyolojik
7.84,1.56,318.0,4.7,2.65,0.066,kimyasal
6.95,1.53,269.0,11.8,3.21,0.192,biyolojik
7.77,2.4,329.0,5.3,2.5,0.528,kimyasal
8.09,1.96,334.0,4.4,2.78,0.434,kimyasal
8.23,2.74,262.0,18.9,2.82,0.522,kimyasal
8.45,2.55,336.0,11.7,2.71,0.346,kimyasal
5.76,1.33,166.0,17.3,3.68,0.615,biyolojik
6.24,1.03,264.0,33.2,1.87,0.606,fiziksel
6.33,0.47,196.0,3.6,3.18,0.307,biyolojik
7.13,0.94,255.0,40.3,1.15,0.734,fiziksel
6.89,1.53,219.0,31.6,2.3,0.267,biyolojik
7.46,1.21,316.0,2.0,2.9,0.527,kimyasal
6.53,1.31,311.0,17.9,3.62,0.252,biyolojik
7.7,3.14,165.0,8.2,2.5,0.26,biyolojik
7.64,2.36,231.0,4.4,1.94,0.301,kimyasal
6.58,1.14,297.0,19.2,1.08,0.245,fiziksel
7.04,0.56,359.0,60.0,3.2,0.875,fiziksel
5.81,0.74,105.0,19.5,3.57,0.338,biyolojik
7.12,1.54,135.0,5.9,1.7,0.406,biyolojik
8.0,2.34,377.0,11.2,2.48,0.644,kimyasal
8.86,2.89,207.0,10.4,1.71,0.327,kimyasal
7.79,1.36,389.0,54.4,1.48,0.62,fiziksel
8.56,3.55,321.0,6.8,2.55,0.645,kimyasal
7.78,1.33,117.0,26.3,3.1,0.262,biyolojik
6.34,1.97,57.0,32.2,3.39,0.306,biyolojik
7.67,3.13,311.0,5.1,2.88,0.19,kimyasal
6.59,1.07,323.0,0.0,0.57,0.116,fiziksel
6.3,1.36,500.0,60.0,2.73,0.759,fiziksel
6.2,1.97,223.0,8.8,2.41,0.074,biyolojik
8.9,2.28,409.0,10.1,2.53,0.359,kimyasal
6.09,1.05,160.0,29.3,3.82,0.329,biyolojik
7.96,1.68,150.0,17.1,3.17,0.402,biyolojik
7.33,0.5,298.0,33.1,1.42,0.443,fiziksel
6.31,1.09,245.0,26.6,0.53,0.354,fiziksel
7.73,2.11,322.0,27.7,2.99,0.399,fiziksel
6.87,1.15,248.0,39.9,2.05,0.505,fiziksel
6.17,1.34,263.0,20.9,2.81,0.327,biyolojik
7.74,2.56,423.0,1.9,1.4,0.301,kimyasal
6.77,1.23,425.0,31.5,2.25,0.479,fiziksel
5.59,0.78,170.0,36.5,2.58,0.388,biyolojik
7.64,1.02,350.0,24.4,1.68,0.396,fiziksel
7.22,1.42,386.0,11.7,3.33,0.437,kimyasal
7.51,1.82,345.0,34.9,3.3,0.343,biyolojik
5.41,1.12,34.0,28.0,2.17,0.504,biyolojik
8.18,3.25,180.0,17.7,1.88,0.555,kimyasal
7.22,0.85,279.0,4.2,3.47,0.083,normal
6.77,1.08,348.0,31.7,2.28,0.65,fiziksel
6.85,1.1,255.0,19.6,3.5,0.332,biyolojik
7.81,2.44,353.0,11.4,4.1,0.095,kimyasal
6.74,1.42,315.0,44.6,3.32,0.472,biyolojik
8.79,3.78,146.0,0.0,2.34,0.288,kimyasal
7.76,1.86,311.0,0.0,4.19,0.097,normal
8.0,3.18,212.0,12.3,3.02,0.395,kimyasal
8.21,1.05,350.0,21.0,1.7,0.246,fiziksel
8.03,4.5,376.0,19.5,3.08,0.444,kimyasal
6.75,1.32,432.0,41.4,1.74,0.806,fiziksel
7.46,1.93,313.0,18.3,2.77,0.32,biyolojik
6.53,1.32,131.0,35.9,2.75,0.492,biyolojik
7.37,0.96,373.0,6.0,4.05,0.116,normal
6.59,1.66,129.0,5.2,2.91,0.5,biyolojik
7.07,1.61,361.0,60.0,3.15,1.0,fiziksel
7.4,0.91,407.0,30.2,2.05,0.599,fiziksel
7.21,1.13,334.0,34.0,1.83,0.498,fiziksel
5.78,1.31,136.0,26.1,2.32,0.243,biyolojik
7.69,2.17,221.0,7.1,2.69,0.382,kimyasal
7.37,1.76,343.0,24.4,1.32,0.552,fiziksel
6.44,1.22,368.0,0.0,2.32,0.353,biyolojik
6.49,2.2,157.0,34.0,2.86,0.406,biyolojik
7.18,1.09,361.0,40.5,2.0,0.611,fiziksel
6.66,1.59,384.0,32.3,1.61,0.727,fiziksel
7.55,1.03,351.0,9.3,1.8,0.478,kimyasal
6.68,0.83,201.0,24.7,2.69,0.331,biyolojik
7.08,0.82,284.0,10.4,2.97,0.231,biyolojik
7.07,1.76,150.0,30.1,2.57,0.278,biyolojik
7.68,1.81,31.0,7.3,3.13,0.065,biyolojik
6.33,1.72,414.0,54.9,0.81,0.806,fiziksel
6.26,2.01,120.0,27.0,2.59,0.465,biyolojik
6.36,0.86,291.0,9.0,1.91,0.156,biyolojik
7.66,0.82,326.0,36.5,0.76,0.263,fiziksel
5.77,0.43,280.0,4.3,2.65,0.264,biyolojik
6.61,0.82,152.0,24.3,2.94,0.369,biyolojik
6.57,1.38,-13.0,44.6,3.36,0.413,biyolojik
8.48,1.21,293.0,38.5,1.94,0.116,fiziksel
6.73,1.07,228.0,21.2,2.82,0.942,fiziksel
7.64,1.85,232.0,4.7,3.13,0.183,biyolojik
7.58,2.39,212.0,16.3,3.06,0.459,biyolojik
8.05,3.46,335.0,15.7,2.8,0.313,kimyasal
8.43,1.64,211.0,11.7,3.12,0.417,kimyasal
6.96,1.04,331.0,44.2,1.71,0.583,fiziksel
7.41,3.38,205.0,9.3,2.82,0.53,kimyasal
7.32,0.63,342.0,0.5,4.18,0.08,normal
6.81,2.27,255.0,8.3,2.75,0.261,kimyasal
6.84,1.54,166.0,12.7,3.42,0.076,biyolojik
7.52,1.0,107.0,14.0,2.5,0.27,biyolojik
6.64,1.81,225.0,22.1,2.36,0.258,biyolojik
6.85,1.3,288.0,45.6,2.89,0.943,fiziksel
8.04,1.82,325.0,27.5,2.23,0.464,fiziksel
8.56,3.53,206.0,0.0,1.88,0.223,kimyasal
6.5,0.6,381.0,4.3,3.48,0.16,normal
6.5,1.97,128.0,13.4,3.36,0.234,biyolojik
8.8,3.73,255.0,13.4,2.14,0.58,kimyasal
8.67,4.19,294.0,8.5,2.35,0.466,kimyasal
6.62,1.33,486.0,47.3,3.05,0.636,fiziksel
7.54,1.78,293.0,0.6,3.74,0.451,biyolojik
7.5,1.81,133.0,8.7,3.54,0.397,biyolojik
7.7,2.03,399.0,3.9,2.99,0.318,normal
7.05,0.86,335.0,18.4,2.44,0.589,fiziksel
7.63,0.99,410.0,2.1,3.11,0.088,normal
9.07,3.52,324.0,0.0,3.36,0.148,kimyasal
7.31,1.26,300.0,3.0,3.98,0.026,normal
6.12,1.93,296.0,0.0,2.77,0.024,biyolojik
7.07,1.68,410.0,38.3,2.8,0.457,fiziksel
5.95,1.88,137.0,18.9,3.12,0.536,biyolojik
8.77,4.07,363.0,4.1,1.65,0.301,kimyasal
8.68,3.42,362.0,10.2,3.36,0.622,kimyasal
6.94,1.49,252.0,29.2,3.54,0.413,biyolojik
6.11,1.46,257.0,34.7,2.77,0.391,biyolojik
6.39,1.41,407.0,4.9,3.82,0.161,normal
7.49,2.45,280.0,11.3,2.42,0.23,kimyasal
6.47,1.61,173.0,32.1,3.83,0.209,biyolojik
7.78,1.47,351.0,60.0,1.73,0.593,fiziksel
6.89,0.92,333.0,30.2,1.65,0.612,fiziksel
8.83,2.25,339.0,15.8,2.11,0.313,kimyasal
7.65,1.19,338.0,6.6,4.58,0.156,normal
6.86,1.68,316.0,34.7,1.5,0.339,fiziksel
7.24,1.6,382.0,21.0,2.14,0.436,kimyasal
7.92,1.21,302.0,21.0,1.91,0.81,fiziksel
7.9,3.41,362.0,13.6,3.32,0.436,kimyasal
6.94,1.19,387.0,39.4,0.2,1.0,fiziksel
7.36,0.76,359.0,31.2,1.9,0.635,fiziksel
6.67,0.86,289.0,47.2,2.84,0.998,fiziksel
7.75,2.03,344.0,10.6,3.64,0.232,kimyasal
6.46,1.35,59.0,8.3,1.95,0.406,biyolojik
6.55,0.58,-26.0,18.8,2.59,0.277,biyolojik
7.93,2.23,110.0,18.9,3.02,0.417,biyolojik
6.96,2.4,296.0,12.1,3.44,0.497,kimyasal
6.81,2.41,212.0,26.1,3.06,0.295,biyolojik
7.81,1.54,381.0,29.6,1.69,0.743,fiziksel
8.07,2.86,216.0,5.3,1.63,0.428,kimyasal
6.4,0.74,301.0,0.0,3.88,0.332,biyolojik
8.13,1.03,429.0,33.9,2.25,0.593,fiziksel
7.14,1.89,403.0,2.1,4.11,0.028,normal
6.7,1.33,122.0,38.7,3.0,0.28,biyolojik
7.42,1.23,303.0,37.6,1.74,0.73,fiziksel
6.5,0.74,396.0,12.8,2.63,0.145,biyolojik
5.43,1.11,188.0,26.5,2.58,0.111,biyolojik
6.92,1.67,158.0,16.0,4.1,0.339,biyolojik
8.69,4.41,456.0,17.3,2.31,0.622,kimyasal
6.41,1.97,222.0,14.4,3.48,0.531,biyolojik
7.6,2.42,206.0,0.0,1.93,0.547,kimyasal
7.58,1.22,297.0,33.8,1.8,0.542,fiziksel
6.02,1.46,130.0,26.8,2.37,0.406,biyolojik
7.83,2.52,253.0,12.9,3.12,0.432,kimyasal
7.73,2.52,281.0,10.7,2.48,0.601,kimyasal
7.8,1.19,429.0,14.7,2.13,0.232,fiziksel
6.72,2.03,32.0,32.0,3.58,0.214,biyolojik
6.67,1.28,345.0,5.9,4.06,0.128,normal
6.28,0.61,296.0,57.9,2.98,0.87,fiziksel
6.63,0.65,299.0,3.5,3.89,0.072,normal
7.1,1.69,407.0,40.3,1.92,0.66,fiziksel
5.66,2.49,237.0,22.9,3.46,0.448,biyolojik
7.28,1.35,464.0,10.1,0.75,0.297,fiziksel
7.68,1.79,216.0,21.8,2.06,0.728,kimyasal
7.14,2.08,303.0,7.0,3.33,0.308,normal
7.47,1.96,230.0,6.8,2.31,0.407,kimyasal
7.04,2.3,126.0,7.2,2.41,0.545,biyolojik
5.35,1.24,194.0,17.3,3.38,0.519,biyolojik
7.88,1.04,345.0,24.4,1.3,0.233,fiziksel
8.13,4.1,345.0,7.9,1.77,0.032,kimyasal
6.6,1.11,294.0,15.3,2.8,0.489,fiziksel
6.71,1.29,500.0,35.8,1.24,0.404,fiziksel
6.59,1.38,250.0,41.2,1.69,0.426,fiziksel
7.62,1.55,279.0,5.3,2.79,0.293,kimyasal
8.16,2.1,446.0,20.4,2.96,0.59,kimyasal
8.12,2.15,336.0,22.1,2.3,0.683,fiziksel
8.16,2.58,233.0,21.2,3.64,0.415,kimyasal
7.08,1.92,342.0,45.4,3.01,1.0,fiziksel
6.62,1.21,311.0,47.6,2.75,0.808,fiziksel
8.58,3.15,278.0,0.0,2.79,0.587,kimyasal
7.34,1.55,170.0,51.2,3.07,0.609,fiziksel
7.07,1.39,259.0,30.6,2.72,0.529,biyolojik
7.3,1.01,409.0,0.4,4.08,0.093,normal
7.67,2.15,356.0,7.2,2.89,0.357,kimyasal
7.53,2.3,358.0,23.2,1.43,0.56,fiziksel
6.13,1.29,210.0,7.8,4.13,0.034,normal
6.78,0.46,304.0,6.1,4.22,0.164,normal
7.47,2.13,280.0,17.1,3.11,0.323,biyolojik
6.01,1.63,373.0,19.2,1.27,0.601,fiziksel
6.71,1.57,178.0,48.2,2.58,1.0,fiziksel
6.68,1.2,364.0,26.7,0.69,0.627,fiziksel
8.93,2.62,280.0,3.9,2.78,0.457,kimyasal
8.23,3.22,162.0,13.6,2.73,0.244,kimyasal
6.78,1.14,383.0,13.1,2.97,0.257,normal
6.89,1.19,408.0,17.6,0.37,0.344,fiziksel
5.63,1.38,392.0,48.9,3.9,1.0,fiziksel
8.77,1.78,322.0,9.8,2.19,0.661,kimyasal
7.98,2.85,302.0,10.0,3.1,0.066,kimyasal
7.72,0.93,500.0,1.2,4.44,0.225,normal
7.46,1.61,334.0,58.0,2.76,0.589,fiziksel
6.67,1.21,423.0,13.8,1.09,0.472,fiziksel
6.46,1.67,195.0,18.9,2.77,0.213,biyolojik
7.41,1.23,439.0,60.0,1.89,0.576,fiziksel
5.9,0.3,77.0,15.2,3.35,0.149,biyolojik
7.58,1.9,50.0,16.3,2.1,0.066,biyolojik
5.64,1.27,165.0,27.3,2.11,0.238,biyolojik
7.68,0.97,360.0,0.8,3.73,0.211,normal
6.46,1.03,270.0,12.9,3.07,0.298,biyolojik
7.14,1.27,330.0,39.7,0.21,0.705,fiziksel
6.2,2.66,309.0,9.9,2.86,0.299,biyolojik
6.81,1.62,181.0,25.4,3.87,0.261,biyolojik
6.3,1.3,32.0,26.0,3.8,0.355,biyolojik
7.87,3.0,270.0,11.9,3.22,0.161,kimyasal
6.6,1.38,409.0,18.1,0.29,0.599,fiziksel
6.61,1.42,285.0,32.7,2.96,0.405,fiziksel
7.49,0.96,308.0,37.3,1.59,0.582,fiziksel
7.65,0.61,382.0,44.2,2.31,0.217,fiziksel
6.59,1.54,366.0,7.7,3.86,0.083,normal
7.15,1.04,425.0,20.9,1.95,0.744,fiziksel
6.85,1.66,439.0,3.4,4.23,0.029,normal
7.63,1.71,196.0,7.0,2.73,0.444,kimyasal
6.21,1.64,318.0,6.5,3.35,0.091,biyolojik
7.44,2.13,224.0,13.2,1.58,0.201,kimyasal
7.14,0.51,456.0,41.9,1.49,0.537,fiziksel
7.71,2.24,343.0,8.1,2.39,0.492,kimyasal
6.96,0.89,279.0,49.4,1.95,0.342,fiziksel
6.93,0.75,189.0,28.3,3.39,0.317,biyolojik
8.6,4.21,152.0,12.3,2.59,0.288,kimyasal
8.47,1.95,252.0,14.0,1.81,0.236,kimyasal
7.2,0.62,187.0,30.6,2.83,0.718,fiziksel
7.36,1.06,343.0,7.0,3.14,0.286,kimyasal
7.7,4.0,410.0,10.6,3.26,0.42,kimyasal
7.29,1.01,245.0,33.7,2.04,1.0,fiziksel
8.04,2.06,268.0,23.6,2.42,0.432,kimyasal
6.3,1.22,263.0,2.0,5.0,0.131,normal
7.49,1.4,112.0,29.1,2.43,0.688,biyolojik
7.15,1.87,387.0,50.0,2.96,0.562,fiziksel
7.38,1.05,336.0,29.4,3.0,0.594,fiziksel
7.85,1.51,290.0,1.1,2.56,0.584,kimyasal
7.91,0.67,350.0,27.5,0.43,0.45,fiziksel
6.04,2.42,175.0,11.9,3.25,0.481,biyolojik
7.3,0.92,291.0,15.7,1.88,0.353,kimyasal
6.68,1.24,342.0,11.2,1.69,0.239,fiziksel
8.33,2.39,365.0,9.3,1.63,0.485,kimyasal
6.73,1.24,313.0,52.0,2.4,0.967,fiziksel
7.2,1.23,254.0,21.6,1.13,0.445,fiziksel
6.8,0.87,245.0,1.2,2.42,0.18,biyolojik
6.04,1.23,271.0,8.1,3.36,0.113,normal
8.62,2.17,297.0,9.5,2.77,0.203,kimyasal
7.49,2.0,289.0,38.1,2.58,0.615,fiziksel
6.81,1.25,301.0,14.1,2.42,0.293,fiziksel
6.82,0.55,355.0,5.2,4.04,0.034,normal
9.04,4.2,201.0,7.6,2.28,0.271,kimyasal
7.52,0.93,333.0,42.7,2.06,0.912,fiziksel
6.52,1.04,500.0,60.0,3.82,0.848,fiziksel
6.46,1.03,297.0,20.5,2.21,0.442,biyolojik
5.74,1.82,223.0,22.5,3.31,0.126,biyolojik
8.61,2.46,198.0,3.9,2.67,0.575,kimyasal
7.83,3.25,222.0,8.7,2.57,0.668,kimyasal
7.03,1.76,214.0,3.7,2.63,0.418,biyolojik
8.05,0.46,401.0,4.0,3.32,0.02,normal
8.75,4.45,224.0,14.6,2.54,0.49,kimyasal
8.22,2.2,376.0,8.8,2.07,0.172,kimyasal
6.75,1.17,467.0,47.3,3.42,0.936,fiziksel
8.61,2.34,359.0,5.7,2.31,0.447,kimyasal
6.6,1.52,39.0,30.2,2.48,0.387,biyolojik
8.97,2.67,342.0,12.2,3.16,0.522,kimyasal
7.42,0.8,321.0,23.6,2.03,0.461,fiziksel
7.3,0.99,493.0,34.4,0.82,0.306,fiziksel
7.66,2.02,296.0,2.7,3.99,0.189,normal
7.54,0.84,377.0,24.1,1.82,0.575,fiziksel
7.79,1.51,457.0,32.3,1.72,0.797,fiziksel
7.57,0.3,353.0,60.0,1.86,0.738,fiziksel
8.74,2.7,187.0,7.1,2.49,0.426,kimyasal
6.83,1.01,357.0,44.4,2.58,0.557,fiziksel
6.93,1.05,479.0,42.5,1.45,0.394,fiziksel
6.97,0.71,340.0,29.4,1.57,0.688,fiziksel
7.67,1.2,322.0,29.4,1.96,0.587,fiziksel
6.59,1.44,267.0,35.9,3.49,0.4,biyolojik
8.8,3.94,310.0,12.5,2.26,0.328,kimyasal
6.59,1.03,378.0,44.4,2.39,0.641,fiziksel
7.41,0.96,329.0,44.5,2.57,0.733,fiziksel
7.62,0.94,114.0,13.6,3.25,0.422,biyolojik
7.77,1.35,365.0,1.8,2.86,0.273,kimyasal
7.38,1.57,172.0,46.0,2.3,0.779,fiziksel
7.95,2.32,340.0,7.4,2.56,0.417,kimyasal
7.98,1.52,370.0,23.9,0.92,0.325,fiziksel
6.53,1.14,448.0,47.3,2.86,0.782,fiziksel
6.95,1.14,493.0,8.8,1.46,0.462,fiziksel
8.36,2.82,278.0,3.9,2.78,0.269,kimyasal
6.69,1.3,244.0,15.9,3.88,0.276,biyolojik
7.66,2.02,392.0,13.0,2.54,0.219,kimyasal
6.67,1.23,294.0,21.9,2.76,0.388,biyolojik
5.78,1.39,179.0,15.7,3.59,0.261,biyolojik
6.95,1.58,306.0,28.8,2.46,0.378,fiziksel
7.18,2.41,336.0,17.2,2.72,0.435,kimyasal
7.85,3.28,262.0,10.5,2.19,0.446,kimyasal
7.8,1.75,196.0,5.5,3.56,0.414,biyolojik
7.94,1.82,310.0,14.1,0.61,0.3,kimyasal
6.97,1.26,226.0,13.8,2.1,0.287,biyolojik
6.45,2.05,258.0,26.7,2.29,0.259,biyolojik
6.54,2.15,351.0,12.4,1.41,0.442,kimyasal
6.67,2.91,226.0,18.0,3.58,0.371,biyolojik
7.95,0.75,337.0,30.1,0.22,0.677,fiziksel
8.12,2.57,437.0,14.7,2.91,0.404,kimyasal
6.72,1.86,131.0,12.6,2.47,0.292,biyolojik
6.23,1.45,128.0,0.9,3.09,0.314,biyolojik
8.0,2.35,236.0,4.8,2.01,0.378,kimyasal
6.45,1.95,131.0,12.5,2.72,0.234,biyolojik
6.12,1.16,404.0,35.6,1.07,0.415,fiziksel
7.0,0.79,227.0,14.7,3.39,0.343,biyolojik
6.3,1.62,446.0,3.2,3.71,0.102,normal
7.23,1.85,320.0,49.1,3.08,0.811,fiziksel
9.0,3.22,448.0,9.9,2.67,0.325,kimyasal
6.85,1.68,407.0,4.0,4.22,0.098,normal
7.83,1.37,492.0,4.2,4.11,0.156,normal
6.89,1.27,396.0,42.5,2.47,0.647,fiziksel
6.53,2.08,259.0,18.6,3.45,0.345,biyolojik
8.1,2.25,270.0,5.0,2.68,0.684,kimyasal
6.08,0.74,55.0,17.2,2.55,0.078,biyolojik
8.69,2.07,367.0,1.8,2.18,0.239,kimyasal
7.12,1.75,327.0,56.2,2.12,0.413,fiziksel
7.43,1.95,437.0,17.2,2.39,0.455,fiziksel
5.84,0.47,252.0,13.9,1.9,0.3,biyolojik
7.08,1.86,393.0,12.4,1.36,0.251,biyolojik
6.94,0.85,257.0,6.2,3.0,0.02,biyolojik
5.81,1.3,59.0,11.9,2.49,0.067,biyolojik
8.87,3.47,256.0,8.5,2.9,0.176,kimyasal
6.78,1.3,361.0,29.3,1.62,0.634,fiziksel
6.01,1.19,229.0,22.3,2.96,0.418,biyolojik
7.8,1.8,279.0,3.3,2.58,0.528,kimyasal
6.6,0.97,463.0,20.6,1.27,0.332,fiziksel
7.34,0.61,152.0,40.5,2.92,0.7,fiziksel
4.99,1.57,126.0,36.6,2.41,0.304,biyolojik
7.25,1.08,229.0,17.8,2.73,0.379,biyolojik
7.72,1.32,333.0,1.4,2.74,0.062,kimyasal
7.92,1.57,438.0,19.7,1.66,0.386,fiziksel
7.84,2.94,339.0,16.2,2.14,0.251,kimyasal
7.01,1.05,382.0,1.8,4.79,0.124,normal
7.26,1.02,329.0,36.2,0.59,0.635,fiziksel
8.7,3.19,388.0,10.5,2.87,0.447,kimyasal
7.23,1.18,117.0,46.3,1.27,0.691,fiziksel
7.3,1.69,285.0,0.0,2.54,0.336,kimyasal
6.04,2.04,131.0,34.6,3.86,0.49,biyolojik
6.88,0.83,374.0,9.6,0.42,0.227,fiziksel
6.32,1.69,300.0,27.2,3.4,0.426,biyolojik
6.09,2.23,3.0,10.1,2.52,0.222,biyolojik
5.8,1.36,446.0,3.2,3.53,0.154,normal
7.56,1.33,300.0,38.8,3.41,0.259,biyolojik
6.8,1.32,364.0,3.5,4.44,0.178,normal
5.95,0.99,182.0,16.0,3.15,0.274,biyolojik
6.46,1.55,387.0,16.8,1.35,0.635,fiziksel
6.88,1.02,350.0,40.8,2.76,0.783,fiziksel
8.18,3.86,345.0,6.5,2.17,0.535,kimyasal
6.05,1.5,293.0,34.7,2.33,0.935,fiziksel
7.18,1.91,353.0,24.3,1.46,0.573,fiziksel
8.34,3.37,289.0,9.6,2.21,0.376,kimyasal
7.83,2.07,327.0,7.6,2.47,0.362,kimyasal
7.82,2.19,406.0,17.0,1.81,0.308,kimyasal
7.3,2.41,173.0,23.3,3.56,0.316,biyolojik
5.96,1.54,76.0,34.4,3.6,0.38,biyolojik
7.14,1.58,393.0,11.6,3.13,0.368,kimyasal
7.6,1.49,390.0,16.6,2.25,0.502,kimyasal
7.03,0.53,370.0,0.0,4.36,0.105,normal
6.56,2.15,327.0,36.6,2.0,0.02,biyolojik
8.19,3.14,204.0,8.1,2.77,0.268,kimyasal
